year,tif_number,property_tax,total_expenditures,transfers_in,transfers_out,surplus,end_balance,flags
2002,93,340519,1250461,0,0,0,606440,Total of other finances did not match anything. Guessing total by adding individual
2002,94,614609,15205,0,0,0,0,End of year balance has no value
2002,95,2467535,3760143,0,0,0,5856291,Total of other finances did not match anything. Guessing total by adding individual
2002,99,178571,2961,0,0,0,175853,Beginning of year balance has no value
2002,100,74854,2244,0,-27998,0,143408,Total of other finances did not match anything. Guessing total by adding individual
2002,103,783568,14140,0,0,0,770583,Beginning of year balance has no value
2002,104,439748,7864,0,0,0,432518,Beginning of year balance has no value
2002,105,162705,2942,0,0,0,159997,Beginning of year balance has no value
2002,106,280422,4178,0,0,0,276606,Beginning of year balance has no value
2002,109,413398,7266,0,0,0,406733,Beginning of year balance has no value
2002,110,1662526,28389,0,0,0,1636337,Beginning of year balance has no value
2003,8,852229,670955,0,0,0,0,End of year balance has no value
2003,13,531534,408973,270986,0,0,1871223,Total of other finances did not match anything. Guessing total by adding individual
2003,20,216025,8657,0,-270986,0,1268467,Total of other finances did not match anything. Guessing total by adding individual
2003,32,5782733,3965306,0,-5000000,0,18600453,Total of other finances did not match anything. Guessing total by adding individual
2003,36,2502895,768876,1811000,0,0,5110312,Total of other finances did not match anything. Guessing total by adding individual
2003,38,858472,217812,0,0,0,0,End of year balance has no value
2003,44,2482581,1920284,0,-481259,0,8531055,Total of other finances did not match anything. Guessing total by adding individual
2003,45,1937739,2094752,481259,0,0,14025604,Total of other finances did not match anything. Guessing total by adding individual
2003,53,4088560,2842410,0,0,0,0,End of year balance has no value
2003,63,4777867,3864273,1000000,0,0,4648898,Total of other finances did not match anything. Guessing total by adding individual
2003,67,419992,287746,441840,0,0,736095,Total of other finances did not match anything. Guessing total by adding individual
2003,75,837012,362032,0,0,0,1602577,Total of other finances did not match anything. Guessing total by adding individual
2003,81,801077,153178,0,0,0,1674863,Total of other finances did not match anything. Guessing total by adding individual
2003,85,1448997,527102,0,0,0,4434836,Total of other finances did not match anything. Guessing total by adding individual
2003,86,3078522,75218,5000000,0,0,12707932,Total of other finances did not match anything. Guessing total by adding individual
2003,88,2312068,662381,0,-400000,0,2707887,Total of other finances did not match anything. Guessing total by adding individual
2003,101,859433,30423,0,-1000000,0,966397,Total of other finances did not match anything. Guessing total by adding individual
2003,108,591571,208261,0,0,0,1754285,Total of other finances did not match anything. Guessing total by adding individual
2003,115,438317,6038,0,0,0,432863,Beginning of year balance has no value
2003,117,432051,5724,0,0,0,426772,Beginning of year balance has no value
2003,118,295526,3646,0,0,0,292167,Beginning of year balance has no value
2003,121,234832,2824,0,0,0,232259,Beginning of year balance has no value
2003,128,167480,2149,0,0,0,165509,Beginning of year balance has no value
2004,13,850064,484541,379717,0,0,2630141,Total of other finances did not match anything. Guessing total by adding individual
2004,20,311460,9866,0,-379717,0,1296090,Total of other finances did not match anything. Guessing total by adding individual
2004,31,24707926,11553737,0,-4175883,0,63989900,Total of other finances did not match anything. Guessing total by adding individual
2004,33,2304102,120914,0,-391607,0,8676479,Total of other finances did not match anything. Guessing total by adding individual
2004,34,3011710,2787644,0,-739324,0,6915448,Total of other finances did not match anything. Guessing total by adding individual
2004,37,5612987,3138230,0,-4930000,0,13117175,Total of other finances did not match anything. Guessing total by adding individual
2004,42,593830,637020,0,0,0,0,End of year balance has no value
2004,45,1389224,2222558,348762,0,0,13601622,Total of other finances did not match anything. Guessing total by adding individual
2004,52,9108394,1650012,0,-1104281,0,17899563,Total of other finances did not match anything. Guessing total by adding individual
2004,53,5441873,18246830,0,0,0,44351056,Total of other finances did not match anything. Guessing total by adding individual
2004,63,10426375,440933,0,-642076,0,14025919,Total of other finances did not match anything. Guessing total by adding individual
2004,72,291497,5792371,5320000,0,0,737515,Total of other finances did not match anything. Guessing total by adding individual
2004,81,1924246,235383,0,0,0,0,End of year balance has no value
2004,87,2795221,606036,0,-182892,0,5976741,Total of other finances did not match anything. Guessing total by adding individual
2004,91,400545,119643,0,0,0,0,End of year balance has no value
2004,94,4743215,471055,0,-392008,0,7106699,Total of other finances did not match anything. Guessing total by adding individual
2004,96,543186,12434,0,0,0,0,End of year balance has no value
2004,106,1989505,107406,0,0,0,3929854,Total of other finances did not match anything. Guessing total by adding individual
2004,115,1931119,44589,0,0,0,3073197,Total of other finances did not match anything. Guessing total by adding individual
2004,127,1661556,27138,0,0,0,1635801,Beginning of year balance has no value
2004,128,799091,16317,0,0,0,0,End of year balance has no value
2004,130,171287,2798,0,0,0,168632,Beginning of year balance has no value
2004,131,272069,4443,0,0,0,267872,Beginning of year balance has no value
2005,13,727311,568018,223355,0,0,3062529,Total of other finances did not match anything. Guessing total by adding individual
2005,16,2306929,681579,0,-1793647,0,5176858,Total of other finances did not match anything. Guessing total by adding individual
2005,20,156612,34162,0,-223355,0,1326859,Total of other finances did not match anything. Guessing total by adding individual
2005,26,1777437,131619,0,0,0,8898957,Revenues after expenditure checksum failed
2005,27,519097,595259,90000,0,0,679676,Total of other finances did not match anything. Guessing total by adding individual
2005,29,381116,10466,0,-195000,0,1400840,Total of other finances did not match anything. Guessing total by adding individual
2005,30,10701865,7157208,0,-1000000,0,25167745,Total of other finances did not match anything. Guessing total by adding individual
2005,37,7285971,5912435,0,-3315000,0,11531916,Total of other finances did not match anything. Guessing total by adding individual
2005,40,631252,248249,0,0,0,3368406,Revenues after expenditure checksum failed
2005,45,1579602,2357611,598857,0,0,13652290,Total of other finances did not match anything. Guessing total by adding individual
2005,49,305625,217863,0,0,0,351572,Revenues after expenditure checksum failed
2005,52,10450502,2057548,0,-1839470,0,24738992,Total of other finances did not match anything. Guessing total by adding individual
2005,54,1547590,303927,0,-1939267,0,4654384,Total of other finances did not match anything. Guessing total by adding individual
2005,58,1718492,1153118,0,-90000,0,4473030,Total of other finances did not match anything. Guessing total by adding individual
2005,67,278093,114440,1793647,0,0,2652689,Total of other finances did not match anything. Guessing total by adding individual
2005,75,916883,1517098,1108149,0,0,2928949,Total of other finances did not match anything. Guessing total by adding individual
2005,80,463318,40421,0,0,0,622555,Revenues after expenditure checksum failed
2005,95,6334373,2236644,0,-1108149,0,16209367,Total of other finances did not match anything. Guessing total by adding individual
2005,106,2419624,1391811,0,0,0,5773599,Total of other finances did not match anything. Guessing total by adding individual
2005,129,339592,4632,0,0,0,335721,Beginning of year balance has no value
2005,134,483589,5983,0,0,0,478698,Beginning of year balance has no value
2005,136,499963,6084,0,0,0,494983,Beginning of year balance has no value
2006,3,153100,8080,0,0,0,626616,Revenues after expenditure checksum failed
2006,14,94519209,87996890,0,-6459266,0,220631190,Total of other finances did not match anything. Guessing total by adding individual
2006,20,280532,10384,0,-342551,0,1393637,Total of other finances did not match anything. Guessing total by adding individual
2006,23,2452919,3198144,0,-229659,0,6743983,Total of other finances did not match anything. Guessing total by adding individual
2006,27,556881,1065302,518497,0,0,735680,Total of other finances did not match anything. Guessing total by adding individual
2006,29,376620,11739,615000,0,0,2460903,Total of other finances did not match anything. Guessing total by adding individual
2006,31,32716916,26908757,0,-3315000,0,82323472,Total of other finances did not match anything. Guessing total by adding individual
2006,41,339078,305970,0,0,0,4274291,Revenues after expenditure checksum failed
2006,43,1383582,358348,0,0,0,7926399,Revenues after expenditure checksum failed
2006,44,1896534,1937206,0,-246730,0,8191361,Total of other finances did not match anything. Guessing total by adding individual
2006,45,1759471,2160818,246730,0,0,13849009,Total of other finances did not match anything. Guessing total by adding individual
2006,57,599964,1706518,853000,0,0,1073214,Total of other finances did not match anything. Guessing total by adding individual
2006,58,2172784,352180,0,-1371496,0,5003117,Total of other finances did not match anything. Guessing total by adding individual
2006,59,10817907,223844,0,-810000,0,41004298,Total of other finances did not match anything. Guessing total by adding individual
2006,63,12883154,6049241,0,-3500000,0,26349358,Total of other finances did not match anything. Guessing total by adding individual
2006,72,250323,3748730,3510000,0,0,952134,Total of other finances did not match anything. Guessing total by adding individual
2006,84,2935816,636218,0,-250000,0,9835065,Total of other finances did not match anything. Guessing total by adding individual
2006,85,4004594,6320072,0,-250000,0,7170318,Total of other finances did not match anything. Guessing total by adding individual
2006,88,4671081,1335278,0,-2500000,0,9604552,Total of other finances did not match anything. Guessing total by adding individual
2006,95,6845395,3272636,0,-2883720,0,17209677,Total of other finances did not match anything. Guessing total by adding individual
2006,101,1278743,415964,3500000,0,0,7385384,Total of other finances did not match anything. Guessing total by adding individual
2006,107,671860,555837,0,0,0,2015025,Total of other finances did not match anything. Guessing total by adding individual
2006,116,677921,2427251,2500000,0,0,2556525,Total of other finances did not match anything. Guessing total by adding individual
2007,5,257169,7007,0,0,0,2609313,Revenues after expenditure checksum failed
2007,13,1458301,592006,288449,0,0,5177547,Total of other finances did not match anything. Guessing total by adding individual
2007,20,287671,16179,0,288449,0,1450075,Total of other finances did not match anything. Guessing total by adding individual
2007,32,10551035,1806485,0,-7411497,0,39568404,Total of other finances did not match anything. Guessing total by adding individual
2007,44,2209528,5073905,0,-2000000,0,3558759,Total of other finances did not match anything. Guessing total by adding individual
2007,45,1998204,11616171,2000000,0,0,6564064,Total of other finances did not match anything. Guessing total by adding individual
2007,52,15355677,6025702,0,2103109,0,38559991,Total of other finances did not match anything. Guessing total by adding individual
2007,54,2328636,454916,0,1534291,0,5664109,Total of other finances did not match anything. Guessing total by adding individual
2007,63,16371002,4086560,0,-9000000,0,29932342,Total of other finances did not match anything. Guessing total by adding individual
2007,65,2348492,54904,0,2333217,0,5345946,Total of other finances did not match anything. Guessing total by adding individual
2007,69,3529214,2447751,0,694464,0,6775938,Total of other finances did not match anything. Guessing total by adding individual
2007,76,1173077,157918,0,1888363,0,6552201,Total of other finances did not match anything. Guessing total by adding individual
2007,81,3073595,902124,0,1137388,0,8421679,Total of other finances did not match anything. Guessing total by adding individual
2007,84,3992417,1510362,0,2320121,0,10120892,Total of other finances did not match anything. Guessing total by adding individual
2007,87,5220658,5287104,0,0,0,19401823,Total of other finances did not match anything. Guessing total by adding individual
2007,89,1604659,40013,0,1270798,0,3836738,Total of other finances did not match anything. Guessing total by adding individual
2007,94,9830628,5911608,0,4150946,0,15218512,Total of other finances did not match anything. Guessing total by adding individual
2007,98,2090475,245186,0,1387704,0,5193834,Total of other finances did not match anything. Guessing total by adding individual
2007,101,1975356,8125650,9000000,0,0,10378035,Total of other finances did not match anything. Guessing total by adding individual
2007,106,4380202,1397906,0,0,0,0,End of year balance has no value
2007,114,679817,539157,0,0,0,1855915,Total of other finances did not match anything. Guessing total by adding individual
2007,118,5584374,101959,0,0,0,14222283,Beginning of year balance has no value
2007,123,703851,15865,0,-500680,0,1400583,Total of other finances did not match anything. Guessing total by adding individual
2007,125,755920,740342,0,0,0,2080149,Total of other finances did not match anything. Guessing total by adding individual
2007,126,531308,605912,380140,0,0,641120,Total of other finances did not match anything. Guessing total by adding individual
2007,127,1839350,39834,0,-2013168,0,4247401,Total of other finances did not match anything. Guessing total by adding individual
2007,134,340659,155832,0,0,0,1274203,Total of other finances did not match anything. Guessing total by adding individual
2007,146,0,359550,1338363,0,0,8301297,Beginning of year balance has no value
2007,147,9827888,167484,0,0,0,9672999,Beginning of year balance has no value
2008,10,957819,967384,0,0,0,0,End of year balance has no value
2008,13,1838281,920738,287963,0,0,6439333,Total of other finances did not match anything. Guessing total by adding individual
2008,20,287095,25782,0,-287963,0,1490415,Total of other finances did not match anything. Guessing total by adding individual
2008,29,878153,1233161,0,-390000,0,1800031,Total of other finances did not match anything. Guessing total by adding individual
2008,31,46181171,33104426,0,-1450000,0,104518122,Total of other finances did not match anything. Guessing total by adding individual
2008,32,10684458,2252666,0,-4217095,0,44925768,Total of other finances did not match anything. Guessing total by adding individual
2008,37,10044765,10673770,0,-7030000,0,23542338,Total of other finances did not match anything. Guessing total by adding individual
2008,38,2487078,360497,0,-375000,0,7208294,Total of other finances did not match anything. Guessing total by adding individual
2008,40,1024455,722322,0,0,0,0,End of year balance has no value
2008,43,1878585,446298,0,0,0,0,End of year balance has no value
2008,51,0,4843,0,0,0,214277,"field ""property_tax"" had no value attached"
2008,52,15986333,7530526,0,-2432174,0,44821059,Total of other finances did not match anything. Guessing total by adding individual
2008,54,2277384,980566,0,-713454,0,6283868,Total of other finances did not match anything. Guessing total by adding individual
2008,60,3529913,10249157,3310952,0,0,80173572,Total of other finances did not match anything. Guessing total by adding individual
2008,64,6865104,2550709,0,-2515648,0,14718481,Total of other finances did not match anything. Guessing total by adding individual
2008,65,3033865,50040,0,-1013287,0,7354260,Total of other finances did not match anything. Guessing total by adding individual
2008,69,4055493,2258993,0,-637997,0,7998096,Total of other finances did not match anything. Guessing total by adding individual
2008,71,2468694,8748877,314417,0,0,7654585,Total of other finances did not match anything. Guessing total by adding individual
2008,72,646099,8030935,7420000,0,0,1640133,Total of other finances did not match anything. Guessing total by adding individual
2008,74,1963150,594396,0,0,0,0,End of year balance has no value
2008,76,2925826,344886,0,-379156,0,8792617,Total of other finances did not match anything. Guessing total by adding individual
2008,77,2700205,3986904,1203854,0,0,39932687,Total of other finances did not match anything. Guessing total by adding individual
2008,81,3150445,1448058,0,-212602,0,9965639,Total of other finances did not match anything. Guessing total by adding individual
2008,84,4370048,1915457,0,-1203854,0,11440149,Total of other finances did not match anything. Guessing total by adding individual
2008,86,13948078,30834902,4217095,0,0,51138958,Total of other finances did not match anything. Guessing total by adding individual
2008,91,1166107,181824,0,0,0,4234904,Revenues after expenditure checksum failed
2008,95,14328463,23101910,0,-2027639,0,40158582,Total of other finances did not match anything. Guessing total by adding individual
2008,97,779974,9501148,1514944,0,0,29142404,Total of other finances did not match anything. Guessing total by adding individual
2008,98,2253566,423831,0,-1027414,0,6028504,Total of other finances did not match anything. Guessing total by adding individual
2008,99,819792,162755,240000,0,0,3566680,Total of other finances did not match anything. Guessing total by adding individual
2008,106,5038674,174999,0,0,0,0,End of year balance has no value
2008,107,1220692,1049012,0,0,0,3519671,Total of other finances did not match anything. Guessing total by adding individual
2008,109,3207737,1302442,0,-3000000,0,4012167,Total of other finances did not match anything. Guessing total by adding individual
2008,112,1363270,25191,0,0,0,0,End of year balance has no value
2008,113,730363,957582,0,0,0,31286339,Revenues after expenditure checksum failed
2008,115,6376991,17528650,5265294,0,0,28486516,Total of other finances did not match anything. Guessing total by adding individual
2008,118,7825170,458211,0,-470000,0,21218370,Total of other finances did not match anything. Guessing total by adding individual
2008,127,2126259,255140,0,-1285257,0,4861561,Total of other finances did not match anything. Guessing total by adding individual
2008,135,267123,4024,0,0,0,263374,Beginning of year balance has no value
2008,140,162860,2454,0,0,0,160592,Beginning of year balance has no value
2008,142,1750029,23894,0,0,0,1728062,Beginning of year balance has no value
2008,144,825466,705778,950000,0,0,1777311,Total of other finances did not match anything. Guessing total by adding individual
2008,145,749565,10475,0,0,0,739864,Beginning of year balance has no value
2008,146,640378,866564,379156,0,0,8645560,Total of other finances did not match anything. Guessing total by adding individual
2008,147,19164707,676720,0,-1450000,0,26802911,Total of other finances did not match anything. Guessing total by adding individual
2008,148,261958,3678,0,0,0,258532,Beginning of year balance has no value
2008,149,902916,12369,0,0,0,891388,Beginning of year balance has no value
2008,150,1186301,15901,0,0,0,84171506,Beginning of year balance has no value
2008,151,253385,3339,0,0,0,250278,Beginning of year balance has no value
2008,152,596362,8773,0,0,0,588204,Beginning of year balance has no value
2008,156,1047185,13764,0,0,0,1034363,Beginning of year balance has no value
2009,13,1805422,1029277,143578,0,0,7367669,Total of other finances did not match anything. Guessing total by adding individual
2009,27,745498,1093554,120000,0,0,715294,Total of other finances did not match anything. Guessing total by adding individual
2009,32,11552733,1601227,0,-4220475,0,50937516,Total of other finances did not match anything. Guessing total by adding individual
2009,33,4408414,1181701,180604,0,0,24930382,Total of other finances did not match anything. Guessing total by adding individual
2009,34,5644633,3375320,2500000,0,0,27654972,Total of other finances did not match anything. Guessing total by adding individual
2009,37,10664963,4139508,0,-4115000,0,27279019,Total of other finances did not match anything. Guessing total by adding individual
2009,38,2592384,98604,0,0,0,9714170,Revenues after expenditure checksum failed
2009,46,92731,45465,0,0,0,176521,Revenues after expenditure checksum failed
2009,52,17493350,9583908,0,-3058845,0,49738032,Total of other finances did not match anything. Guessing total by adding individual
2009,55,2899227,1002651,0,-671680,0,7559298,Total of other finances did not match anything. Guessing total by adding individual
2009,58,3263305,215381,0,-120000,0,13260394,Total of other finances did not match anything. Guessing total by adding individual
2009,61,4251688,226053,0,0,0,21486499,Beginning of year balance has no value
2009,63,19659528,5627663,91731,0,0,54750701,Total of other finances did not match anything. Guessing total by adding individual
2009,64,7252088,2846649,0,-2600923,0,16544822,Total of other finances did not match anything. Guessing total by adding individual
2009,65,3151470,75804,0,-1013463,0,9427929,Total of other finances did not match anything. Guessing total by adding individual
2009,70,2467641,820283,2000000,0,0,9610566,Total of other finances did not match anything. Guessing total by adding individual
2009,71,2738239,678110,303656,0,0,10028524,Total of other finances did not match anything. Guessing total by adding individual
2009,72,1109711,4660538,4310000,0,0,2407421,Total of other finances did not match anything. Guessing total by adding individual
2009,75,2011507,13099882,2105844,0,0,6078471,Total of other finances did not match anything. Guessing total by adding individual
2009,76,2998749,1886657,0,-379339,0,9537792,Total of other finances did not match anything. Guessing total by adding individual
2009,77,2991817,13194560,1205798,0,0,31154664,Total of other finances did not match anything. Guessing total by adding individual
2009,81,3410246,3588686,0,-211642,0,9588817,Total of other finances did not match anything. Guessing total by adding individual
2009,84,4785633,1292959,0,-3205798,0,11743235,Total of other finances did not match anything. Guessing total by adding individual
2009,86,14329169,28859260,4220475,0,0,40975295,Total of other finances did not match anything. Guessing total by adding individual
2009,87,6436495,6788467,52044,0,0,17687398,Total of other finances did not match anything. Guessing total by adding individual
2009,89,1801602,51492,0,-729070,0,3684448,Total of other finances did not match anything. Guessing total by adding individual
2009,95,14414560,14012555,0,-1946989,0,38906899,Total of other finances did not match anything. Guessing total by adding individual
2009,97,823055,27048556,1518151,0,0,4548471,Total of other finances did not match anything. Guessing total by adding individual
2009,98,2212427,64070,0,-789081,0,7397068,Total of other finances did not match anything. Guessing total by adding individual
2009,104,11113970,7653459,0,-84225,0,23430754,Total of other finances did not match anything. Guessing total by adding individual
2009,109,3281784,1088167,0,-1000000,0,5211296,Total of other finances did not match anything. Guessing total by adding individual
2009,115,6385328,15688979,6211282,0,0,25416108,Total of other finances did not match anything. Guessing total by adding individual
2009,118,8146598,164957,0,-1500000,0,27731588,Total of other finances did not match anything. Guessing total by adding individual
2009,123,700307,14275,0,-375884,0,2172833,Total of other finances did not match anything. Guessing total by adding individual
2009,126,734981,1253718,671680,0,0,1019465,Total of other finances did not match anything. Guessing total by adding individual
2009,127,1917166,250250,0,-1285481,0,5250324,Total of other finances did not match anything. Guessing total by adding individual
2009,128,1738875,124474,0,0,0,0,End of year balance has no value
2009,130,0,4275,0,0,0,3833210,"field ""property_tax"" had no value attached"
2009,139,867091,215419,0,0,0,2154146,Revenues after expenditure checksum failed
2009,146,802610,8095452,379339,0,0,1754684,Total of other finances did not match anything. Guessing total by adding individual
2009,152,850376,16716,0,-2500,0,1420505,Total of other finances did not match anything. Guessing total by adding individual
2009,154,132068,1751044,1500000,0,0,449889,Total of other finances did not match anything. Guessing total by adding individual
2009,161,1568773,24247,0,0,0,1544976,Beginning of year balance has no value
2010,2,167445,73934,0,0,0,723077,Revenues after expenditure checksum failed
2010,7,0,2778,0,0,0,427324,Revenues after expenditure checksum failed
2010,13,2100457,714494,0,-700000,0,8054823,Total of other finances did not match anything. Guessing total by adding individual
2010,16,2172889,482521,0,0,0,0,End of year balance has no value
2010,27,628309,729178,62947,0,0,677920,Total of other finances did not match anything. Guessing total by adding individual
2010,29,1295800,486238,0,-195000,0,2633236,Total of other finances did not match anything. Guessing total by adding individual
2010,32,13372771,1838994,0,-8504376,0,54282776,Total of other finances did not match anything. Guessing total by adding individual
2010,33,4078705,1542782,0,0,0,0,End of year balance has no value
2010,39,931342,2092673,0,0,0,0,End of year balance has no value
2010,50,745,63969,0,0,0,0,End of year balance has no value
2010,52,17458853,14008782,0,-2974054,0,50393394,Total of other finances did not match anything. Guessing total by adding individual
2010,54,2583580,948497,0,-1101912,0,7980090,Total of other finances did not match anything. Guessing total by adding individual
2010,58,2966679,826075,0,-62947,0,15351560,Total of other finances did not match anything. Guessing total by adding individual
2010,63,17342245,8382564,0,-10000000,0,53766168,Total of other finances did not match anything. Guessing total by adding individual
2010,64,6529367,1575177,0,-3205336,0,18311486,Total of other finances did not match anything. Guessing total by adding individual
2010,65,3024154,73515,0,-1147501,0,11241257,Total of other finances did not match anything. Guessing total by adding individual
2010,68,3943105,7962744,0,0,0,5260916,Revenues after expenditure checksum failed
2010,69,3227671,185897,0,-780141,0,11438019,Total of other finances did not match anything. Guessing total by adding individual
2010,72,1333433,4548394,4310000,0,0,3508750,Total of other finances did not match anything. Guessing total by adding individual
2010,75,2460256,2844953,2791560,0,0,8490168,Total of other finances did not match anything. Guessing total by adding individual
2010,76,3315291,1077911,0,-1836601,0,9948576,Total of other finances did not match anything. Guessing total by adding individual
2010,81,3750669,1185022,0,-247491,0,11917240,Total of other finances did not match anything. Guessing total by adding individual
2010,84,5461945,1125562,0,-651676,0,15440620,Total of other finances did not match anything. Guessing total by adding individual
2010,86,13356634,12672408,8504376,0,0,50204980,Total of other finances did not match anything. Guessing total by adding individual
2010,89,1314488,45317,0,-866393,0,4092245,Total of other finances did not match anything. Guessing total by adding individual
2010,95,14210154,6460307,0,-5514401,0,41898970,Total of other finances did not match anything. Guessing total by adding individual
2010,98,2804016,142120,0,-1593937,0,8472916,Total of other finances did not match anything. Guessing total by adding individual
2010,103,3311509,3724760,0,-1773456,0,14402458,Total of other finances did not match anything. Guessing total by adding individual
2010,117,2976421,4110076,1163175,0,0,31104735,Summing everything checksum failed
2010,118,7830248,2288678,0,-352200,0,32950255,Total of other finances did not match anything. Guessing total by adding individual
2010,121,3085337,2529005,0,-1163175,0,11210430,Total of other finances did not match anything. Guessing total by adding individual
2010,123,872062,18796,0,-452181,0,2576252,Total of other finances did not match anything. Guessing total by adding individual
2010,127,2150683,243632,0,-1485068,0,5677913,Total of other finances did not match anything. Guessing total by adding individual
2010,130,0,10524,0,0,0,3826110,"field ""property_tax"" had no value attached"
2010,135,370944,9360,0,0,0,0,End of year balance has no value
2010,139,1143585,190133,0,0,0,0,End of year balance has no value
